timestamp,pub_timestamp,control_power[0],control_power[1],control_power[2],publisher_id
1771684924768000,1771684924768000,3.6159654e-06,4.71918e-06,8.1204035e-08,39
1771684925268000,1771684925268000,3.182388e-06,3.970616e-06,2.6225345e-07,39
1771684925768000,1771684925768000,4.695868e-06,2.9972273e-06,7.275025e-08,39
1771684926268000,1771684926268000,3.8778217e-06,4.1160415e-06,1.0191652e-07,39
1771684926768000,1771684926768000,4.074145e-06,5.269744e-06,5.7174685e-08,39
1771684927268000,1771684927268000,3.4419347e-06,4.4082917e-06,8.9059405e-08,39
1771684927768000,1771684927768000,3.7918142e-06,6.5433146e-06,8.181079e-08,39
1771684928268000,1771684928268000,3.1200132e-06,3.8187495e-06,7.673713e-08,39
1771684928768000,1771684928768000,3.8073224e-06,4.050718e-06,1.1049222e-07,39
1771684929268000,1771684929268000,4.0784043e-06,4.5792904e-06,4.400182e-08,39
1771684929768000,1771684929768000,3.9167553e-06,3.1586708e-06,1.0650184e-07,39
1771684930268000,1771684930268000,3.8020082e-06,4.3497225e-06,6.0025094e-08,39
1771684930768000,1771684930768000,5.7016086e-06,3.875479e-06,4.819283e-08,39
1771684931268000,1771684931268000,3.8418952e-06,2.7484887e-06,5.035396e-08,39
1771684931768000,1771684931768000,4.106125e-06,4.328668e-06,2.1092524e-07,39
1771684932268000,1771684932268000,4.2273014e-06,3.7084449e-06,5.747307e-08,39
1771684932768000,1771684932768000,4.674514e-06,3.7368907e-06,1.163972e-07,39
1771684933268000,1771684933268000,4.4843e-06,4.4780704e-06,1.13450206e-07,39
1771684933768000,1771684933768000,7.2485104e-06,3.7386974e-06,7.418353e-08,39
1771684934268000,1771684934268000,6.3374655e-06,4.456201e-06,1.4220326e-07,39
1771684934768000,1771684934768000,7.021522e-06,4.8890015e-06,4.961524e-08,39
1771684935268000,1771684935268000,4.1806315e-06,4.5650236e-06,1.04501e-07,39
1771684935768000,1771684935768000,4.027278e-06,3.2420849e-06,5.5173686e-08,39
1771684936268000,1771684936268000,3.8106355e-06,5.392229e-06,2.1961775e-07,39
1771684936768000,1771684936768000,3.997898e-06,5.3968315e-06,3.418906e-08,39
1771684937268000,1771684937268000,5.3384974e-06,5.201031e-06,1.9170692e-08,39
1771684937768000,1771684937768000,7.5175967e-06,9.586838e-06,2.6911438e-08,39
1771684938268000,1771684938268000,4.506316e-06,1.2014103e-05,7.9943966e-08,39
1771684938768000,1771684938768000,5.480458e-06,2.361666e-05,9.76343e-08,39
1771684939268000,1771684939268000,6.5840313e-06,3.042106e-05,6.028911e-08,39
1771684939768000,1771684939768000,1.2248013e-05,4.4122717e-05,8.006387e-08,39
1771684940268000,1771684940268000,1.05930085e-05,4.3737273e-05,7.277289e-08,39
1771684940768000,1771684940768000,6.709598e-06,6.183857e-06,8.8951424e-08,39
1771684941268000,1771684941268000,3.6829447e-06,7.789481e-06,1.6477179e-07,39
1771684941768000,1771684941768000,9.180959e-06,1.3309155e-05,8.6162004e-08,39
1771684942268000,1771684942268000,5.5909354e-06,9.7799e-06,1.556623e-07,39
1771684942768000,1771684942768000,3.6535923e-06,9.0761205e-06,1.6106175e-07,39
1771684943268000,1771684943268000,3.772958e-06,1.6365468e-05,5.968504e-08,39
1771684943768000,1771684943768000,5.6438e-06,7.0749165e-06,6.026486e-08,39
1771684944268000,1771684944268000,4.147478e-06,7.243938e-06,1.8782372e-07,39
1771684944768000,1771684944768000,7.3531087e-06,7.2583653e-06,1.8746576e-07,39
1771684945268000,1771684945268000,8.462189e-06,9.916474e-06,5.253069e-08,39
1771684945768000,1771684945768000,4.1128806e-06,1.05781755e-05,1.3772923e-07,39
1771684946268000,1771684946268000,4.6666933e-06,7.3420383e-06,7.244587e-08,39
1771684946768000,1771684946768000,7.676949e-06,1.0782749e-05,1.6378112e-07,39
1771684947268000,1771684947268000,6.007882e-06,8.278736e-06,1.5303871e-07,39
1771684947768000,1771684947768000,4.1520316e-06,1.3396082e-05,4.9663985e-08,39
1771684948268000,1771684948268000,3.741473e-06,1.3319431e-05,7.7362984e-08,39
1771684948768000,1771684948768000,4.537218e-06,1.3439034e-05,5.154313e-08,39
1771684949268000,1771684949268000,5.8715495e-06,9.854248e-06,3.5768224e-07,39
1771684949768000,1771684949768000,7.3740653e-06,5.4064976e-06,1.341933e-07,39
1771684950268000,1771684950268000,6.565749e-06,6.2833224e-06,3.9811553e-07,39
1771684950768000,1771684950768000,8.336516e-06,5.005062e-06,8.062604e-08,39
1771684951268000,1771684951268000,9.201034e-06,7.230264e-06,1.07896405e-07,39
1771684951768000,1771684951768000,4.76003e-06,5.6540152e-06,4.1529255e-08,39
1771684952268000,1771684952268000,6.9665894e-06,1.0604071e-05,3.1873856e-08,39
1771684952768000,1771684952768000,6.268378e-06,1.07333135e-05,1.5145557e-07,39
1771684953268000,1771684953268000,6.1688847e-06,1.3058256e-05,9.742554e-08,39
1771684953768000,1771684953768000,4.9385085e-06,9.484573e-06,5.2916885e-08,39
1771684954268000,1771684954268000,4.5640327e-06,7.156006e-06,9.417124e-08,39
1771684954768000,1771684954768000,7.961922e-06,5.85951e-06,9.43007e-08,39
1771684955268000,1771684955268000,4.8149363e-06,6.9816233e-06,2.0163289e-07,39
1771684955768000,1771684955768000,6.5856325e-06,1.1737351e-05,1.5518728e-07,39
1771684956268000,1771684956268000,8.980586e-06,9.647964e-06,4.3396277e-08,39
1771684956768000,1771684956768000,6.7598285e-06,7.2031744e-06,8.236416e-08,39
1771684957268000,1771684957268000,6.0204247e-06,8.977536e-06,1.8454611e-07,39
1771684957768000,1771684957768000,4.5877223e-06,8.521778e-06,2.684179e-07,39
1771684958268000,1771684958268000,1.12811285e-05,7.877207e-06,8.960391e-08,39
1771684958768000,1771684958768000,4.3569385e-06,1.2035265e-05,5.5912867e-08,39
1771684959268000,1771684959268000,6.151445e-06,4.8482193e-06,7.99407e-08,39
1771684959768000,1771684959768000,6.973682e-06,9.332421e-06,1.2515446e-07,39
1771684960268000,1771684960268000,7.895104e-06,8.892984e-06,1.01807146e-07,39
1771684960768000,1771684960768000,3.3036108e-06,7.39494e-06,4.0145895e-07,39
1771684961268000,1771684961268000,6.4891424e-06,6.1722935e-06,4.262169e-07,39
1771684961768000,1771684961768000,5.5250002e-06,6.5930285e-06,9.839092e-08,39
1771684962268000,1771684962268000,5.7810885e-06,7.460609e-06,2.1970943e-07,39
1771684962768000,1771684962768000,5.8410155e-06,5.665914e-06,7.7857976e-08,39
1771684963268000,1771684963268000,5.3837502e-06,1.0035682e-05,6.136892e-08,39
1771684963768000,1771684963768000,6.882796e-06,1.0530056e-05,8.151468e-08,39
1771684964268000,1771684964268000,4.7958483e-06,8.9096775e-06,7.4024804e-08,39
1771684964768000,1771684964768000,6.663604e-06,1.3878287e-05,7.0611506e-08,39
1771684965268000,1771684965268000,1.2361969e-05,8.3658215e-06,1.1858733e-07,39
1771684965768000,1771684965768000,4.8822603e-06,8.151411e-06,7.688967e-08,39
1771684966268000,1771684966268000,6.0216917e-06,1.143566e-05,2.3997754e-07,39
1771684966768000,1771684966768000,5.6539457e-06,1.0891887e-05,9.617965e-08,39
1771684967268000,1771684967268000,7.036595e-06,9.028379e-06,1.3997783e-07,39
1771684967768000,1771684967768000,5.088408e-06,8.326912e-06,4.575315e-07,39
1771684968268000,1771684968268000,6.2602644e-06,9.357155e-06,6.2392286e-07,39
1771684968768000,1771684968768000,4.0786367e-06,5.6212343e-06,3.6110382e-07,39
1771684969268000,1771684969268000,6.1830656e-06,5.437303e-06,1.2390217e-07,39
