timestamp,timestamp_sample,pub_timestamp,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_filtered[0],innovation_filtered[1],innovation_filtered[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],test_ratio_filtered[0],test_ratio_filtered[1],test_ratio_filtered[2],publisher_id,estimator_instance,innovation_rejected,fused
1771684924796000,1771684924644000,0,1771684924644000,0,0.005328445,-0.0005824606,-0.9999856,1.0,1.0,1.0,-0.004440813,0.0001800681,-1.3947487e-05,0.0011279794,-0.00034953858,-6.5878153e-06,1.0003587,1.0003619,1.0,0.00031541995,5.18606e-07,3.1125182e-09,8.654538e-05,-1.13768865e-05,-1.6564712e-09,0,0,0,1
1771684924804000,1771684924652000,0,1771684924652000,0,0.002521382,0.000608962,-0.99999654,1.0,1.0,1.0,-0.0016259449,-0.00093850115,-3.1590462e-06,0.0010846105,-0.0003588136,-6.533819e-06,1.0003587,1.0003619,1.0,4.228398e-05,1.408745e-05,1.5967316e-10,8.451657e-05,-1.1419573e-05,-1.6328996e-09,0,0,0,1
1771684924812000,1771684924660000,0,1771684924660000,0,-0.00286396,0.0018658949,-0.99999416,1.0,1.0,1.0,0.003741702,-0.0021775428,-5.543232e-06,0.0011264544,-0.000387455,-6.5182194e-06,1.0003587,1.0003619,1.0,0.00022392502,7.583965e-05,4.9163873e-10,8.671198e-05,-1.2434062e-05,-1.614927e-09,0,0,0,1
1771684924820000,1771684924668000,0,1771684924668000,0,-0.0015080459,-0.0019411125,-0.99999696,1.0,1.0,1.0,0.0023639165,0.0015527189,-2.5629997e-06,0.001145942,-0.00035690106,-6.4559326e-06,1.0003585,1.0003617,1.0,8.937758e-05,3.856102e-05,1.0510348e-10,8.675396e-05,-1.163099e-05,-1.5911502e-09,0,0,0,1
1771684924828000,1771684924676000,0,1771684924676000,0,0.0009948965,0.0003389075,-0.9999994,1.0,1.0,1.0,-9.5552066e-05,-0.0007011068,-1.1920929e-07,0.0011263909,-0.00036232162,-6.3561415e-06,1.0003585,1.0003617,1.0,1.460308e-07,7.861968e-06,2.2737368e-13,8.538545e-05,-1.1571636e-05,-1.5660964e-09,0,0,0,1
1771684924836000,1771684924684000,0,1771684924684000,0,0.0031943275,0.000726211,-0.9999947,1.0,1.0,1.0,-0.002279384,-0.0010283777,-4.827976e-06,0.0010727566,-0.0003728107,-6.332076e-06,1.0003585,1.0003617,1.0,8.309968e-05,1.691485e-05,3.7294967e-10,8.273214e-05,-1.1655781e-05,-1.5473066e-09,0,0,0,1
1771684924844000,1771684924692000,0,1771684924692000,0,0.0028222501,0.0013780228,-0.99999505,1.0,1.0,1.0,-0.0018696224,-0.0016445569,-4.4703484e-06,0.0010264199,-0.0003928382,-6.3027574e-06,1.0003585,1.0003617,1.0,5.5907763e-05,4.325743e-05,3.1974423e-10,8.054884e-05,-1.2153445e-05,-1.527975e-09,0,0,0,1
1771684924852000,1771684924700000,0,1771684924700000,0,-0.0030717393,-0.0025825899,-0.99999195,1.0,1.0,1.0,0.003974586,0.0023541597,-7.748604e-06,0.0010728478,-0.0003495784,-6.3255266e-06,1.0003585,1.0003617,1.0,0.00025266674,8.864101e-05,9.606538e-10,8.325936e-05,-1.0566131e-05,-1.5190408e-09,0,0,0,1
1771684924860000,1771684924708000,0,1771684924708000,0,-0.0029480294,-0.0016850746,-0.9999942,1.0,1.0,1.0,0.0038192426,0.0014613545,-5.4836273e-06,0.001116098,-0.00032105975,-6.3122684e-06,1.0003585,1.0003617,1.0,0.0002333022,3.415655e-05,4.811227e-10,8.562224e-05,-9.861837e-06,-1.5026956e-09,0,0,0,1
1771684924868000,1771684924716000,0,1771684924716000,0,0.003440126,0.00033753776,-0.999994,1.0,1.0,1.0,-0.0025653422,-0.0005381331,-5.722046e-06,0.0010581226,-0.00032447823,-6.3029734e-06,1.0003585,1.0003617,1.0,0.00010525796,4.6317173e-06,5.2386895e-10,8.261625e-05,-9.779473e-06,-1.4872811e-09,0,0,0,1
