timestamp,pub_timestamp,publisher_id,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
1771684924068000,1771684924068000,60,0,1,1,1,1,1,1,0,0,0,1,1
1771684925068000,1771684925068000,60,0,1,1,1,1,1,1,0,0,0,1,1
1771684926068000,1771684926068000,60,0,1,1,1,1,1,1,0,0,0,1,1
1771684927068000,1771684927068000,60,0,1,1,1,1,1,1,0,0,0,1,1
1771684928068000,1771684928068000,60,0,1,1,1,1,1,1,0,0,0,1,1
1771684928508000,1771684928508000,60,0,1,1,1,0,0,1,0,0,0,1,1
1771684928524000,1771684928524000,60,0,1,1,1,1,1,1,0,0,0,1,1
1771684929524000,1771684929524000,60,0,1,1,1,1,1,1,0,0,0,1,1
1771684930524000,1771684930524000,60,0,1,1,1,1,1,1,0,0,0,1,1
1771684931524000,1771684931524000,60,0,1,1,1,1,1,1,0,0,0,1,1
1771684932524000,1771684932524000,60,0,1,1,1,1,1,1,0,0,0,1,1
1771684933524000,1771684933524000,60,0,1,1,1,1,1,1,0,0,0,1,1
1771684934524000,1771684934524000,60,0,1,1,1,1,1,1,0,0,0,1,1
1771684935524000,1771684935524000,60,0,1,1,1,1,1,1,0,0,0,1,1
1771684936524000,1771684936524000,60,0,1,1,1,1,1,1,0,0,0,1,1
1771684937524000,1771684937524000,60,0,1,1,1,1,1,1,0,0,0,1,1
1771684938252000,1771684938252000,60,0,1,0,0,1,1,1,0,0,0,1,0
1771684938364000,1771684938364000,60,0,0,0,0,1,0,1,0,0,0,1,0
1771684939364000,1771684939364000,60,0,0,0,0,1,0,0,0,0,0,1,0
1771684940364000,1771684940364000,60,0,0,0,0,1,0,0,0,0,0,1,0
1771684940452000,1771684940452000,60,0,0,0,0,0,0,0,0,0,0,1,0
1771684941452000,1771684941452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684942452000,1771684942452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684943452000,1771684943452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684944452000,1771684944452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684945452000,1771684945452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684946452000,1771684946452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684947452000,1771684947452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684948452000,1771684948452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684949452000,1771684949452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684950452000,1771684950452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684951452000,1771684951452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684952452000,1771684952452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684953452000,1771684953452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684954452000,1771684954452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684955452000,1771684955452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684956452000,1771684956452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684957452000,1771684957452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684958452000,1771684958452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684959452000,1771684959452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684960452000,1771684960452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684961452000,1771684961452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684962452000,1771684962452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684963452000,1771684963452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684964452000,1771684964452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684965452000,1771684965452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684966452000,1771684966452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684967452000,1771684967452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684968452000,1771684968452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684969452000,1771684969452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684970452000,1771684970452000,60,0,0,0,0,0,0,0,1,0,0,1,0
1771684971452000,1771684971452000,60,0,0,0,0,0,0,0,1,0,1,1,0
1771684972452000,1771684972452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684973452000,1771684973452000,60,0,0,0,0,0,0,0,0,1,1,1,0
1771684974452000,1771684974452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684975452000,1771684975452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684976452000,1771684976452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684977452000,1771684977452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684978452000,1771684978452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684979452000,1771684979452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684980452000,1771684980452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684981452000,1771684981452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684982452000,1771684982452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684983452000,1771684983452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684984452000,1771684984452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684985452000,1771684985452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684986452000,1771684986452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684987452000,1771684987452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684988452000,1771684988452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684989452000,1771684989452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684990452000,1771684990452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684991452000,1771684991452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684992452000,1771684992452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684993452000,1771684993452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684994452000,1771684994452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684995452000,1771684995452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684996452000,1771684996452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684997452000,1771684997452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684998452000,1771684998452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771684999452000,1771684999452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685000452000,1771685000452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685001452000,1771685001452000,60,0,0,0,0,0,0,0,0,1,1,1,0
1771685002452000,1771685002452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685003452000,1771685003452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685004452000,1771685004452000,60,0,0,0,0,0,0,0,0,0,1,1,0
1771685005452000,1771685005452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685006452000,1771685006452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685007452000,1771685007452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685008452000,1771685008452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685009452000,1771685009452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685010452000,1771685010452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685011452000,1771685011452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685012452000,1771685012452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685013452000,1771685013452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685014452000,1771685014452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685015452000,1771685015452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685016452000,1771685016452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685017452000,1771685017452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685018452000,1771685018452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685019452000,1771685019452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685020452000,1771685020452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685021452000,1771685021452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685022452000,1771685022452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685023452000,1771685023452000,60,0,0,0,0,0,0,0,0,1,1,1,0
1771685024452000,1771685024452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685025452000,1771685025452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685026452000,1771685026452000,60,0,0,0,0,0,0,0,0,0,0,1,0
