timestamp,pub_timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,publisher_id,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
1771685122640000,1771685122640000,0.0006634867,-0.00016626925,0.00027865905,0.0,0.0,-1.1641532e-10,0,27,1,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685122648000,1771685122648000,0.0010699709,-2.2274908e-06,0.0001806853,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685122656000,1771685122656000,-0.0057996367,-0.002008867,0.0002108493,0.0,0.0,1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685122664000,1771685122664000,-0.0003072563,-0.00078258454,0.00020771603,0.0,0.0,-1.1641532e-10,0,27,1,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685122672000,1771685122672000,-5.229417e-05,-3.8390048e-05,0.000273893,0.0,0.0,-1.1641532e-10,0,27,1,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685122680000,1771685122680000,-0.0007746218,0.0,0.00019025062,0.0,0.0,-1.1641532e-10,0,27,1,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685122688000,1771685122688000,-0.00015093853,-0.0010102259,-3.1243326e-05,0.0,0.0,0.0,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685122696000,1771685122696000,0.00031815824,-0.0021707793,-0.00019926393,0.0,0.0,0.0,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685122704000,1771685122704000,-0.00026956538,0.0001889891,-0.00018706865,0.0,0.0,-1.1641532e-10,0,27,1,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1771685122712000,1771685122712000,-0.0037113838,0.0004073229,-0.0001545169,0.0,0.0,0.0,0,27,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
