timestamp,pub_timestamp,publisher_id,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
1771685122636000,1771685122636000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685122660000,1771685122660000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685122672000,1771685122672000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685123176000,1771685123176000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685123680000,1771685123680000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685124184000,1771685124184000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685124688000,1771685124688000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685125192000,1771685125192000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685125696000,1771685125696000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685126200000,1771685126200000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685126704000,1771685126704000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685127208000,1771685127208000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685127712000,1771685127712000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685128216000,1771685128216000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685128720000,1771685128720000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685129224000,1771685129224000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685129728000,1771685129728000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685130232000,1771685130232000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685130736000,1771685130736000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685131240000,1771685131240000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685131744000,1771685131744000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685132248000,1771685132248000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685132752000,1771685132752000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685133256000,1771685133256000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685133760000,1771685133760000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685134264000,1771685134264000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685134768000,1771685134768000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
