timestamp,timestamp_sample,pub_timestamp,latitude_deg,longitude_deg,altitude_msl_m,altitude_ellipsoid_m,time_utc_usec,device_id,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,publisher_id,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance,rtcm_crc_failed,rtcm_msg_used
1771685122620000,0,1771685122620000,47.397742,8.545592899999999,487.997,487.997,1771685122620000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685122672000,0,1771685122672000,47.397742,8.5455931,487.997,487.997,1771685122672000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685122724000,0,1771685122724000,47.397742099999995,8.545593,487.994,487.994,1771685122724000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685122776000,0,1771685122776000,47.397742099999995,8.545592899999999,487.998,487.998,1771685122776000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685122828000,0,1771685122828000,47.397742099999995,8.5455928,487.992,487.992,1771685122828000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685122880000,0,1771685122880000,47.3977419,8.545592899999999,487.99600000000004,487.99600000000004,1771685122880000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685122932000,0,1771685122932000,47.397742,8.5455928,488.005,488.005,1771685122932000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685122984000,0,1771685122984000,47.397742099999995,8.545593,488.00800000000004,488.00800000000004,1771685122984000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685123036000,0,1771685123036000,47.397742099999995,8.5455928,487.994,487.994,1771685123036000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685123088000,0,1771685123088000,47.397742099999995,8.545593,488.012,488.012,1771685123088000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685123140000,0,1771685123140000,47.397742,8.5455928,488.00800000000004,488.00800000000004,1771685123140000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685123192000,0,1771685123192000,47.397742099999995,8.545592899999999,488.007,488.007,1771685123192000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685123244000,0,1771685123244000,47.397742099999995,8.545593,487.99,487.99,1771685123244000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685123296000,0,1771685123296000,47.397742099999995,8.5455928,487.987,487.987,1771685123296000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685123348000,0,1771685123348000,47.397742099999995,8.545593,487.986,487.986,1771685123348000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685123400000,0,1771685123400000,47.397742,8.5455933,487.985,487.985,1771685123400000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685123452000,0,1771685123452000,47.397742,8.545593199999999,487.988,487.988,1771685123452000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685123504000,0,1771685123504000,47.397742099999995,8.545593199999999,487.98400000000004,487.98400000000004,1771685123504000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685123556000,0,1771685123556000,47.3977419,8.545593199999999,487.998,487.998,1771685123556000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685123608000,0,1771685123608000,47.397742,8.545593199999999,488.003,488.003,1771685123608000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685123660000,0,1771685123660000,47.3977419,8.545593,488.004,488.004,1771685123660000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685123712000,0,1771685123712000,47.397742,8.545593,488.009,488.009,1771685123712000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685123764000,0,1771685123764000,47.397742,8.5455931,488.009,488.009,1771685123764000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685123816000,0,1771685123816000,47.397742099999995,8.545593,488.011,488.011,1771685123816000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685123868000,0,1771685123868000,47.397742099999995,8.545592899999999,488.00800000000004,488.00800000000004,1771685123868000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685123920000,0,1771685123920000,47.397742099999995,8.545593,488.00800000000004,488.00800000000004,1771685123920000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685123972000,0,1771685123972000,47.397742,8.545593,488.00600000000003,488.00600000000003,1771685123972000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685124024000,0,1771685124024000,47.397742099999995,8.545593,488.0,488.0,1771685124024000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685124076000,0,1771685124076000,47.397742199999996,8.5455928,488.004,488.004,1771685124076000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685124128000,0,1771685124128000,47.397742099999995,8.5455928,488.005,488.005,1771685124128000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685124180000,0,1771685124180000,47.397742,8.545592899999999,487.997,487.997,1771685124180000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685124232000,0,1771685124232000,47.397742,8.5455931,488.007,488.007,1771685124232000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
1771685124284000,0,1771685124284000,47.3977419,8.5455931,488.02500000000003,488.02500000000003,1771685124284000,0,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,126,3,0,0,1,10,0,0,0
