module_id,inputs,outputs
0,topic_1 topic_4 topic_6 topic_16 topic_18 topic_20 topic_21 topic_22 topic_24 topic_30 topic_32 topic_33 topic_224 topic_240,estimator_aid_src_baro_hgt estimator_aid_src_gnss_hgt estimator_aid_src_gnss_pos estimator_aid_src_gnss_vel estimator_aid_src_gravity estimator_aid_src_mag estimator_baro_bias event mission ping telemetry_status vehicle_command vehicle_command_ack
7,,system_power
14,topic_24,landing_gear trajectory_setpoint vehicle_constraints
24,,battery_status
25,topic_20,esc_status sensor_accel sensor_accel_fifo sensor_baro sensor_gps sensor_gyro sensor_gyro_fifo sensor_mag vehicle_angular_velocity_groundtruth vehicle_attitude_groundtruth vehicle_global_position_groundtruth vehicle_local_position_groundtruth
27,,actuator_motors control_allocator_status
39,,actuator_controls_status_0 rate_ctrl_status vehicle_thrust_setpoint vehicle_torque_setpoint
52,,takeoff_status vehicle_attitude_setpoint vehicle_local_position_setpoint
53,topic_129,vehicle_rates_setpoint
58,topic_14 topic_22 topic_129 topic_250,
60,topic_3 topic_6 topic_20 topic_22 topic_33 topic_129 topic_250,vehicle_land_detected
71,,actuator_outputs actuator_outputs_sim
73,,tune_control
93,topic_1,actuator_armed config_overrides failsafe_flags failure_detector_status health_report home_position led_control tune_control vehicle_command_ack vehicle_control_mode vehicle_status
96,topic_22,dataman_request distance_sensor_mode_change_request geofence_result mission mission_result mode_completed navigator_mission_item navigator_status position_setpoint_triplet rtl_status rtl_time_estimate vehicle_command
108,topic_231,
109,,cpuload
126,,sensor_combined sensor_preflight_mag sensors_status_baro sensors_status_imu sensors_status_mag vehicle_acceleration vehicle_air_data vehicle_angular_velocity vehicle_gps_position vehicle_imu vehicle_imu_status vehicle_magnetometer
127,,dataman_response
128,,dataman_request
160,,ekf2_timestamps estimator_event_flags estimator_gps_status estimator_innovation_test_ratios estimator_innovation_variances estimator_innovations estimator_sensor_bias estimator_states estimator_status estimator_status_flags vehicle_attitude vehicle_global_position vehicle_local_position vehicle_odometry yaw_estimator_status
163,,hover_thrust_estimate
