module_id,dir,topic_name,first_seen,last_seen,rows
0,in,topic_1,1771685439732000,1771685484012000,3
0,in,topic_10,1771685466120000,1771685466120000,1
0,in,topic_128,1771685332564000,1771685332564000,1
0,in,topic_15,1771685350412000,1771685354412000,2
0,in,topic_16,1771685360100000,1771685510892000,12
0,in,topic_18,1771685362812000,1771685494564000,4
0,in,topic_20,1771685330212000,1771685504612000,8
0,in,topic_21,1771685336668000,1771685440812000,3
0,in,topic_22,1771685327712000,1771685517012000,50
0,in,topic_224,1771685449812000,1771685449812000,1
0,in,topic_240,1771685326412000,1771685520472000,48327
0,in,topic_30,1771685330336000,1771685494112000,9
0,in,topic_32,1771685327612000,1771685436564000,6
0,in,topic_33,1771685341412000,1771685510312000,9
0,in,topic_6,1771685337192000,1771685511412000,7
0,out,estimator_aid_src_baro_hgt,0,0,3733
0,out,estimator_aid_src_gnss_hgt,0,0,3733
0,out,estimator_aid_src_gnss_pos,0,0,3733
0,out,estimator_aid_src_gnss_vel,0,0,3733
0,out,estimator_aid_src_gravity,0,0,24258
0,out,estimator_aid_src_mag,0,0,2854
0,out,estimator_baro_bias,0,0,3725
0,out,event,1771685324896000,1771685519476000,18
0,out,mission,0,0,1
0,out,ping,0,0,214
0,out,telemetry_status,0,0,1056
0,out,vehicle_command,0,0,4
0,out,vehicle_command_ack,0,0,4
108,in,topic_231,1771685394452000,1771685394452000,1
109,out,cpuload,1771685326116000,1771685520116000,389
126,out,sensor_combined,1771685326412000,1771685520472000,48516
126,out,sensor_preflight_mag,1771685326408000,1771685520472000,250
126,out,sensors_status_baro,1771685326412000,1771685520472000,48516
126,out,sensors_status_imu,1771685326412000,1771685520472000,48516
126,out,sensors_status_mag,1771685326412000,1771685520472000,48516
126,out,vehicle_acceleration,1771685326412000,1771685520472000,48516
126,out,vehicle_air_data,1771685326400000,1771685520464000,3733
126,out,vehicle_angular_velocity,1771685326412000,1771685520472000,48516
126,out,vehicle_gps_position,1771685326408000,1771685520472000,3733
126,out,vehicle_imu,1771685326412000,1771685520472000,48516
126,out,vehicle_imu_status,1771685326316000,1771685520416000,1942
126,out,vehicle_magnetometer,1771685326412000,1771685520348000,2853
127,out,dataman_response,1771685326384000,1771685519476000,3
128,out,dataman_request,1771685326384000,1771685326384000,1
14,in,topic_22,1771685343188000,1771685343188000,1
14,out,landing_gear,1771685332668000,1771685480068000,4
14,out,trajectory_setpoint,1771685326404000,1771685520468000,9704
14,out,vehicle_constraints,1771685326404000,1771685520468000,9704
160,out,ekf2_timestamps,1771685326412000,1771685520472000,48516
160,out,estimator_event_flags,1771685325492000,1771685519492000,195
160,out,estimator_gps_status,1771685326396000,1771685520460000,3733
160,out,estimator_innovation_test_ratios,1771685326412000,1771685520468000,24258
160,out,estimator_innovation_variances,1771685326412000,1771685520468000,24258
160,out,estimator_innovations,1771685326412000,1771685520468000,24258
160,out,estimator_sensor_bias,1771685325732000,1771685519756000,212
160,out,estimator_states,1771685326412000,1771685520468000,24258
160,out,estimator_status,1771685326412000,1771685520468000,24258
160,out,estimator_status_flags,1771685325916000,1771685519644000,201
160,out,vehicle_attitude,1771685326412000,1771685520472000,48516
160,out,vehicle_global_position,1771685326412000,1771685520468000,24258
160,out,vehicle_local_position,1771685326412000,1771685520468000,24258
160,out,vehicle_odometry,1771685326412000,1771685520468000,24258
160,out,yaw_estimator_status,1771685326412000,1771685520468000,24258
163,out,hover_thrust_estimate,1771685331932000,1771685517476000,23194
24,out,battery_status,1771685326412000,1771685520472000,19407
25,out,esc_status,1771685326408000,1771685520468000,48516
25,out,sensor_accel,1771685326384000,1771685520444000,48516
25,out,sensor_accel_fifo,1771685326412000,1771685520472000,48516
25,out,sensor_baro,1771685326400000,1771685520460000,97032
25,out,sensor_gps,1771685326408000,1771685520472000,3733
25,out,sensor_gyro,1771685326384000,1771685520444000,48516
25,out,sensor_gyro_fifo,1771685326400000,1771685520460000,48516
25,out,sensor_mag,1771685326400000,1771685520460000,48516
25,out,vehicle_angular_velocity_groundtruth,1771685326408000,1771685520472000,24259
25,out,vehicle_attitude_groundtruth,1771685326408000,1771685520472000,24259
25,out,vehicle_global_position_groundtruth,1771685326408000,1771685520472000,24259
25,out,vehicle_local_position_groundtruth,1771685326408000,1771685520472000,24259
27,out,actuator_motors,1771685326412000,1771685520472000,48494
27,out,control_allocator_status,1771685326408000,1771685520472000,24259
39,out,actuator_controls_status_0,1771685326268000,1771685520268000,389
39,out,rate_ctrl_status,1771685326412000,1771685520472000,48516
39,out,vehicle_thrust_setpoint,1771685326412000,1771685520472000,48516
39,out,vehicle_torque_setpoint,1771685326412000,1771685520472000,48516
52,out,takeoff_status,1771685326412000,1771685520348000,722
52,out,vehicle_attitude_setpoint,1771685326412000,1771685520468000,24258
52,out,vehicle_local_position_setpoint,1771685326412000,1771685520468000,24258
53,in,topic_8,1771685331720000,1771685331720000,1
53,out,vehicle_rates_setpoint,1771685326412000,1771685520472000,48495
58,in,topic_129,1771685387932000,1771685494820000,5
58,in,topic_14,1771685338828000,1771685518308000,6
58,in,topic_250,1771685332028000,1771685469268000,5
60,in,topic_129,1771685343268000,1771685513620000,17
60,in,topic_20,1771685366716000,1771685366716000,1
60,in,topic_22,1771685326492000,1771685501668000,5
60,in,topic_250,1771685327644000,1771685509244000,8
60,in,topic_3,1771685334148000,1771685488612000,5
60,in,topic_33,1771685417052000,1771685505604000,5
60,in,topic_6,1771685335684000,1771685500004000,8
60,out,vehicle_land_detected,1771685325724000,1771685520468000,201
7,out,system_power,1771685326412000,1771685520472000,19407
71,out,actuator_outputs,1771685326412000,1771685520472000,48466
71,out,actuator_outputs_sim,1771685326412000,1771685520472000,48476
73,out,tune_control,1771685329420000,1771685329420000,1
93,in,topic_1,1771685479456000,1771685479456000,1
93,out,actuator_armed,1771685326408000,1771685519980000,390
93,out,config_overrides,1771685326384000,1771685520472000,16181
93,out,failsafe_flags,1771685325976000,1771685520448000,361
93,out,failure_detector_status,1771685326408000,1771685519980000,391
93,out,health_report,1771685324896000,1771685326972000,2
93,out,home_position,1771685332480000,1771685332480000,1
93,out,led_control,1771685324896000,1771685520184000,19
93,out,tune_control,1771685325376000,1771685519980000,6
93,out,vehicle_command_ack,1771685326408000,1771685437540000,4
