timestamp,timestamp_sample,pub_timestamp,information_event_changes,publisher_id,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
1771685724492000,1771684928340000,1771685724492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685725492000,1771684928340000,1771685725492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685726492000,1771684928340000,1771685726492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685727492000,1771684928340000,1771685727492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685728492000,1771684928340000,1771685728492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685729492000,1771684928340000,1771685729492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685730492000,1771684928340000,1771685730492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685731492000,1771684928340000,1771685731492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685732492000,1771684928340000,1771685732492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685733492000,1771684928340000,1771685733492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685734492000,1771684928340000,1771685734492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685735492000,1771684928340000,1771685735492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685736492000,1771684928340000,1771685736492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685737492000,1771684928340000,1771685737492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685738492000,1771684928340000,1771685738492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685739492000,1771684928340000,1771685739492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685740492000,1771684928340000,1771685740492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685741492000,1771684928340000,1771685741492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685742492000,1771684928340000,1771685742492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685743492000,1771684928340000,1771685743492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685744492000,1771684928340000,1771685744492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685745492000,1771684928340000,1771685745492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685746492000,1771684928340000,1771685746492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685747492000,1771684928340000,1771685747492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685748492000,1771684928340000,1771685748492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685749492000,1771684928340000,1771685749492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685750492000,1771684928340000,1771685750492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685751492000,1771684928340000,1771685751492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685752492000,1771684928340000,1771685752492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685753492000,1771684928340000,1771685753492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685754492000,1771684928340000,1771685754492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685755492000,1771684928340000,1771685755492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685756492000,1771684928340000,1771685756492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685757492000,1771684928340000,1771685757492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685758492000,1771684928340000,1771685758492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685759492000,1771684928340000,1771685759492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685760492000,1771684928340000,1771685760492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685761492000,1771684928340000,1771685761492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685762492000,1771684928340000,1771685762492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685763492000,1771684928340000,1771685763492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685764492000,1771684928340000,1771685764492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685765492000,1771684928340000,1771685765492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685766492000,1771684928340000,1771685766492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685767492000,1771684928340000,1771685767492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685768492000,1771684928340000,1771685768492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685769492000,1771684928340000,1771685769492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685770492000,1771684928340000,1771685770492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685771492000,1771684928340000,1771685771492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685772492000,1771684928340000,1771685772492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685773492000,1771684928340000,1771685773492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685774492000,1771684928340000,1771685774492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685775492000,1771684928340000,1771685775492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685776492000,1771684928340000,1771685776492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685777492000,1771684928340000,1771685777492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685778492000,1771684928340000,1771685778492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685779492000,1771684928340000,1771685779492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685780492000,1771684928340000,1771685780492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685781492000,1771684928340000,1771685781492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685782492000,1771684928340000,1771685782492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685783492000,1771684928340000,1771685783492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685784492000,1771684928340000,1771685784492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685785492000,1771684928340000,1771685785492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685786492000,1771684928340000,1771685786492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685787492000,1771684928340000,1771685787492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685788492000,1771684928340000,1771685788492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685789492000,1771684928340000,1771685789492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685790492000,1771684928340000,1771685790492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685791492000,1771684928340000,1771685791492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685792492000,1771684928340000,1771685792492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685793492000,1771684928340000,1771685793492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685794492000,1771684928340000,1771685794492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685795492000,1771684928340000,1771685795492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685796492000,1771684928340000,1771685796492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685797492000,1771684928340000,1771685797492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685798492000,1771684928340000,1771685798492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685799492000,1771684928340000,1771685799492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685800492000,1771684928340000,1771685800492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685801492000,1771684928340000,1771685801492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685802492000,1771684928340000,1771685802492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685803492000,1771684928340000,1771685803492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685804492000,1771684928340000,1771685804492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685805492000,1771684928340000,1771685805492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685806492000,1771684928340000,1771685806492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685807492000,1771684928340000,1771685807492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685808492000,1771684928340000,1771685808492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685809492000,1771684928340000,1771685809492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685810492000,1771684928340000,1771685810492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685811492000,1771684928340000,1771685811492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
